name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"[PR]ДЛИТЕЛЬНОСТЬ НАЖАТИЯ КНОПКИ "-"","PR829","22207C","A","0","0","s","7E0"
"[PR]ДЛИТЕЛЬНОСТЬ НАЖ. КНОПКИ "ПРИОСТАНОВИТЬ"","PR830","22207D","A","0","0","s","7E0"
"[PR]ЧИСЛО НЕНОРМ ПЕР ИЗ РЕЖ РЕГ В РЕЖ ОГР СК","PR849","22207E","A","0","0","","7E0"
"[PR]ПОДАЧА ТОПЛИВА","PR017","222806","(1.0*((A*256+B)))/100","0","0","mg/cp","7E0"
"[PR]ПРОБЕГ. КМ","PR025","222006","(A*65536+B*256+C)","0","0","km","7E0"
"[PR]НАПРЯЖЕНИЕ No. 1 ПИТАНИЯ ДАТЧИКОВ","PR215","222021","(1.0*(A*256+B))/1000","0","0","V","7E0"
"[PR]НАПРЯЖЕНИЕ No. 2 ПИТАНИЯ ДАТЧИКОВ","PR216","222022","(1.0*(A*256+B))/1000","0","0","V","7E0"
"[PR]НАПРЯЖЕНИЕ ПИТАНИЯ N°3 ДАТЧИКОВ","PR635","222023","(1.0*(A*256+B))/1000","0","0","V","7E0"
"[PR]УСТАНОВКА ДАВЛЕНИЯ НАДДУВА","PR009","222402","(A*256+B)","0","0","мбар","7E0"
"[PR]СЦО ЭЛЕКТРОМАГ. КЛАПАНА РЕГ. ДАВ. НАДДУВ","PR846","222403","(1.0*((A*256+B)))/100","0","0","%","7E0"
"[PR]НАПРЯЖЕНИЕ ДАТЧИКА АТМОСФ. ДАВЛ.","PR079","222012","(1.0*(A*256+B))/1000","0","0","V","7E0"
"[PR]УПРАВЛЕНИЕ СВЕЧАМИ ПРЕДПУСК. ПОДОГРЕВА","PR890","222052","(A)*0.3921568","0","0","%","7E0"
"[PR]ОТНОС. ПОЛОЖЕНИЕ ЗАСЛОНКИ ВПУСКА ВОЗДУХА","PR1017","222404","(1.0*((A*256+B)))/20.491","0","0","%","7E0"
"[PR]УСТАНОВКА ОТКРЫТИЯ КЛАПАНА РОГ","PR005","222408","(1.0*((A*256+B)-32767))/100","0","0","%","7E0"
"[PR]УПРАВЛЕНИЕ КЛАПАНА РОГ","PR241","222409","(1.0*((A*256+B)-32767))/100","0","0","%","7E0"
